Individual{TOC=17478.41384723132, NV=55}
Individual{TOC=16335.202053920142, NV=78}
Individual{TOC=17716.046415299978, NV=53}
Individual{TOC=17172.89488484666, NV=58}
Individual{TOC=16301.822497757154, NV=81}
Individual{TOC=16497.44012621585, NV=71}
Individual{TOC=16596.5019741362, NV=66}
Individual{TOC=17344.07263705884, NV=56}
Individual{TOC=16379.904861592342, NV=75}
Individual{TOC=17212.795907138836, NV=57}
Individual{TOC=17021.951742918885, NV=60}
Individual{TOC=16879.94423118208, NV=62}
Individual{TOC=16786.357650230308, NV=63}
Individual{TOC=17137.02366688662, NV=59}
Individual{TOC=16566.074056327794, NV=70}
Individual{TOC=16360.015561851409, NV=77}
Individual{TOC=16750.264893086627, NV=64}
Individual{TOC=17510.77631056714, NV=54}
Individual{TOC=16195.717911232634, NV=93}
Individual{TOC=16394.946761346702, NV=73}
Individual{TOC=16230.047595022952, NV=83}
Individual{TOC=16906.641805575677, NV=61}
Individual{TOC=16205.63545160576, NV=90}
