Individual{TOC=22807.73381821114, NV=63}
Individual{TOC=20623.690214591177, NV=76}
Individual{TOC=23278.25429451249, NV=57}
Individual{TOC=22594.788094313546, NV=64}
Individual{TOC=23064.769955695207, NV=61}
Individual{TOC=20060.79020954243, NV=86}
Individual{TOC=20704.35353141614, NV=72}
Individual{TOC=23789.640590302515, NV=55}
Individual{TOC=20191.96537692704, NV=82}
Individual{TOC=19119.495222285965, NV=91}
Individual{TOC=24748.508875146326, NV=51}
Individual{TOC=20037.4008039982, NV=87}
Individual{TOC=24276.46587526722, NV=52}
Individual{TOC=25069.683055410085, NV=50}
Individual{TOC=20957.313342028676, NV=66}
Individual{TOC=20826.464343712712, NV=69}
Individual{TOC=21052.443107572417, NV=65}
Individual{TOC=20182.760062411013, NV=83}
Individual{TOC=19048.606812589165, NV=92}
Individual{TOC=19004.15343320987, NV=99}
Individual{TOC=20469.457757100936, NV=79}
Individual{TOC=25521.51104606605, NV=47}
Individual{TOC=25183.74636375676, NV=49}
Individual{TOC=25320.08087490614, NV=48}
Individual{TOC=25611.145468598403, NV=46}
Individual{TOC=25770.77249533908, NV=45}
