Individual{TOC=24217.852771777056, NV=63}
Individual{TOC=18917.821494870164, NV=97}
Individual{TOC=21619.46263574799, NV=69}
Individual{TOC=24590.378655602584, NV=62}
Individual{TOC=20369.816466773045, NV=73}
Individual{TOC=19805.001077734923, NV=77}
Individual{TOC=21801.109921803676, NV=68}
Individual{TOC=19450.908822977723, NV=81}
Individual{TOC=20487.497211455484, NV=72}
Individual{TOC=19746.90892520303, NV=79}
Individual{TOC=26864.932436713865, NV=61}
Individual{TOC=19154.691127509643, NV=87}
Individual{TOC=18814.077762826873, NV=101}
Individual{TOC=20156.390047626795, NV=74}
Individual{TOC=20963.08770587395, NV=70}
Individual{TOC=20042.637971185188, NV=75}
Individual{TOC=18982.18375602756, NV=93}
Individual{TOC=19149.377159562504, NV=91}
Individual{TOC=22910.12783776066, NV=65}
Individual{TOC=19411.09067801407, NV=82}
Individual{TOC=19264.763490920832, NV=86}
Individual{TOC=22712.083881202416, NV=66}
Individual{TOC=23122.04751456095, NV=64}
Individual{TOC=22085.05654042242, NV=67}
Individual{TOC=18747.22177647108, NV=108}
Individual{TOC=20523.922635707204, NV=71}
Individual{TOC=19066.864830378516, NV=92}
Individual{TOC=19977.309926052632, NV=76}
