Individual{TOC=30289.247565057645, NV=50}
Individual{TOC=26732.09344830853, NV=55}
Individual{TOC=26588.154689347415, NV=56}
Individual{TOC=25268.537405045037, NV=66}
Individual{TOC=47752.69276681073, NV=41}
Individual{TOC=25935.02308228485, NV=58}
Individual{TOC=38898.79981639332, NV=42}
Individual{TOC=23185.462436875383, NV=83}
Individual{TOC=34870.061737505974, NV=47}
Individual{TOC=25344.691609304566, NV=61}
Individual{TOC=37191.481681443154, NV=44}
Individual{TOC=23835.956226047, NV=69}
Individual{TOC=24400.011975275134, NV=67}
Individual{TOC=28886.385955530437, NV=51}
