Individual{TOC=16316.937787468305, NV=97}
Individual{TOC=16421.906451655064, NV=83}
Individual{TOC=17039.93458019097, NV=66}
Individual{TOC=16834.660415342092, NV=78}
Individual{TOC=16497.502709720386, NV=80}
Individual{TOC=16921.12511548974, NV=72}
Individual{TOC=17018.65236526557, NV=69}
Individual{TOC=16953.212779758942, NV=70}
Individual{TOC=19382.58413530762, NV=50}
Individual{TOC=18245.800420015843, NV=54}
Individual{TOC=17529.877265124287, NV=60}
Individual{TOC=17429.91922925841, NV=65}
Individual{TOC=18211.012204148756, NV=58}
Individual{TOC=17749.623983378002, NV=59}
Individual{TOC=18980.29216709239, NV=51}
Individual{TOC=18229.114369878986, NV=56}
Individual{TOC=19665.930132814578, NV=48}
