Individual{TOC=19570.62108004749, NV=60}
Individual{TOC=19066.30602500674, NV=62}
Individual{TOC=19009.32760530394, NV=63}
Individual{TOC=18745.66134556592, NV=65}
Individual{TOC=18713.951618572617, NV=67}
Individual{TOC=18643.884329861263, NV=68}
Individual{TOC=18313.789356044566, NV=70}
Individual{TOC=17492.27936061929, NV=72}
Individual{TOC=17107.92139047883, NV=75}
Individual{TOC=16991.58817917244, NV=79}
Individual{TOC=16783.938894406907, NV=84}
Individual{TOC=16722.22794652733, NV=85}
Individual{TOC=16580.41635112726, NV=90}
Individual{TOC=16519.98328793949, NV=93}
Individual{TOC=16232.870870789897, NV=98}
