Individual{TOC=16751.61378268538, NV=73}
Individual{TOC=16786.596690016468, NV=71}
Individual{TOC=16806.289550698075, NV=67}
Individual{TOC=16851.19025893103, NV=66}
Individual{TOC=16872.375769971823, NV=65}
Individual{TOC=16881.384253853383, NV=64}
Individual{TOC=16995.270916238867, NV=63}
Individual{TOC=17118.812141846076, NV=62}
Individual{TOC=17322.95412126661, NV=61}
Individual{TOC=17499.318661100162, NV=60}
Individual{TOC=17642.768923568234, NV=59}
Individual{TOC=17750.005996268046, NV=58}
Individual{TOC=18051.534519850324, NV=57}
Individual{TOC=18465.481504909465, NV=56}
Individual{TOC=18957.08704031717, NV=55}
