Individual{TOC=25930.694330797294, NV=82}
Individual{TOC=25629.778891065627, NV=85}
Individual{TOC=25609.279943157493, NV=87}
Individual{TOC=25487.53725809349, NV=88}
Individual{TOC=24792.776687990176, NV=91}
Individual{TOC=24786.640128654562, NV=94}
Individual{TOC=24178.680669463723, NV=99}
Individual{TOC=24160.973192703248, NV=101}
Individual{TOC=23797.422508317104, NV=104}
Individual{TOC=23435.573208432426, NV=109}
Individual{TOC=23394.27249993422, NV=111}
Individual{TOC=23079.644846699422, NV=113}
Individual{TOC=22896.133221069074, NV=115}
Individual{TOC=22790.245464055835, NV=118}
Individual{TOC=22368.32520667675, NV=123}
Individual{TOC=22171.948309669457, NV=130}
Individual{TOC=21906.037309337284, NV=141}
Individual{TOC=21867.944291805725, NV=142}
Individual{TOC=21711.622114998765, NV=147}
Individual{TOC=21567.235438487474, NV=151}
Individual{TOC=21489.905033138562, NV=155}
Individual{TOC=21449.502586201816, NV=167}
Individual{TOC=21329.117612011847, NV=174}
