Individual{TOC=16969.615341815796, NV=67}
Individual{TOC=16035.525835786771, NV=68}
Individual{TOC=17311.35453723207, NV=66}
Individual{TOC=14411.540721806736, NV=75}
Individual{TOC=13944.147395422888, NV=77}
Individual{TOC=18568.849077547122, NV=64}
Individual{TOC=19073.42645374737, NV=59}
Individual{TOC=18580.122452256615, NV=60}
Individual{TOC=15645.233016257982, NV=70}
